time,tensor,correlator
0.000000,-1.398929e-03,1.642955e-05
0.032000,-2.202927e-03,1.527431e-05
0.064000,-1.421972e-03,1.421016e-05
0.096000,-8.565307e-04,1.323317e-05
0.128000,-1.710910e-03,1.235857e-05
0.160000,-5.408157e-04,1.155757e-05
0.192000,8.531052e-04,1.082525e-05
0.224000,6.831773e-04,1.015748e-05
0.256000,1.486331e-03,9.553409e-06
0.288000,-1.055958e-04,8.969354e-06
0.320000,-2.542838e-03,8.434092e-06
0.352000,-2.379440e-03,7.942016e-06
0.384000,-1.328730e-03,7.489796e-06
0.416000,-2.629983e-04,7.091306e-06
0.448000,6.550920e-04,6.746815e-06
0.480000,-8.433128e-04,6.426757e-06
0.512000,-7.382847e-04,6.124740e-06
0.544000,-1.923916e-04,5.812611e-06
0.576000,9.814735e-04,5.523959e-06
0.608000,3.746367e-04,5.258395e-06
0.640000,-1.533815e-03,5.024832e-06
0.672000,-3.638308e-03,4.797910e-06
0.704000,-2.360241e-03,4.585822e-06
0.736000,-1.407989e-03,4.375475e-06
0.768000,-2.506467e-03,4.170489e-06
0.800000,-1.372648e-03,3.963974e-06
0.832000,-2.460111e-03,3.784121e-06
0.864000,-4.082298e-03,3.605456e-06
0.896000,-1.452362e-03,3.428902e-06
0.928000,-1.698941e-03,3.256820e-06
0.960000,1.287312e-03,3.104257e-06
0.992000,3.093455e-03,2.949242e-06
1.024000,2.856609e-03,2.793241e-06
1.056000,6.662467e-03,2.634858e-06
1.088000,1.070015e-02,2.492671e-06
1.120000,8.571944e-03,2.367146e-06
1.152000,8.426681e-03,2.272915e-06
1.184000,7.939060e-03,2.174075e-06
1.216000,8.598785e-03,2.084558e-06
1.248000,8.520741e-03,1.969703e-06
1.280000,7.589064e-03,1.877103e-06
1.312000,8.885771e-03,1.796565e-06
1.344000,7.605891e-03,1.717748e-06
1.376000,6.730054e-03,1.638558e-06
1.408000,5.844479e-03,1.572361e-06
1.440000,7.715022e-03,1.516872e-06
1.472000,7.257821e-03,1.463436e-06
1.504000,3.849667e-03,1.412115e-06
1.536000,1.481802e-03,1.370912e-06
1.568000,-8.031616e-05,1.324812e-06
1.600000,1.647530e-03,1.278787e-06
1.632000,2.267557e-03,1.210911e-06
1.664000,-5.290916e-04,1.166980e-06
1.696000,-2.819905e-03,1.150647e-06
1.728000,-4.358046e-03,1.138127e-06
1.760000,-1.622661e-03,1.110250e-06
1.792000,-1.491360e-03,1.086228e-06
1.824000,1.185778e-05,1.040510e-06
1.856000,8.905078e-04,9.895839e-07
1.888000,-1.802382e-03,9.361317e-07
1.920000,-2.028671e-03,8.743459e-07
1.952000,-2.177247e-03,8.273286e-07
1.984000,-3.278487e-03,7.803014e-07
2.016000,-3.567960e-03,7.365593e-07
2.048000,-1.682780e-03,6.986501e-07
2.080000,-1.317757e-03,6.422809e-07
2.112000,-7.483666e-04,5.669951e-07
2.144000,-3.072665e-03,4.968084e-07
2.176000,-4.310869e-03,4.400588e-07
2.208000,-2.963497e-03,3.827086e-07
